akc_id	type	TRA_chain	TRB_chain
iedb_receptor:21895	AlphaBetaTCR		iedb_receptor:21895-beta
iedb_receptor:21896	AlphaBetaTCR		iedb_receptor:21896-beta
iedb_receptor:21897	AlphaBetaTCR		iedb_receptor:21897-beta
iedb_receptor:21898	AlphaBetaTCR		iedb_receptor:21898-beta
iedb_receptor:21899	AlphaBetaTCR		iedb_receptor:21899-beta
iedb_receptor:21900	AlphaBetaTCR		iedb_receptor:21900-beta
iedb_receptor:21901	AlphaBetaTCR		iedb_receptor:21901-beta
iedb_receptor:21902	AlphaBetaTCR		iedb_receptor:21902-beta
iedb_receptor:21903	AlphaBetaTCR		iedb_receptor:21903-beta
iedb_receptor:21904	AlphaBetaTCR		iedb_receptor:21904-beta
iedb_receptor:21905	AlphaBetaTCR		iedb_receptor:21905-beta
iedb_receptor:21906	AlphaBetaTCR		iedb_receptor:21906-beta
iedb_receptor:21907	AlphaBetaTCR		iedb_receptor:21907-beta
iedb_receptor:21908	AlphaBetaTCR		iedb_receptor:21908-beta
iedb_receptor:21909	AlphaBetaTCR		iedb_receptor:21909-beta
iedb_receptor:21910	AlphaBetaTCR		iedb_receptor:21910-beta
iedb_receptor:21911	AlphaBetaTCR		iedb_receptor:21911-beta
iedb_receptor:21912	AlphaBetaTCR		iedb_receptor:21912-beta
iedb_receptor:21913	AlphaBetaTCR		iedb_receptor:21913-beta
iedb_receptor:21914	AlphaBetaTCR		iedb_receptor:21914-beta
iedb_receptor:21915	AlphaBetaTCR		iedb_receptor:21915-beta
iedb_receptor:21916	AlphaBetaTCR		iedb_receptor:21916-beta
iedb_receptor:21917	AlphaBetaTCR		iedb_receptor:21917-beta
iedb_receptor:21918	AlphaBetaTCR		iedb_receptor:21918-beta
iedb_receptor:21919	AlphaBetaTCR		iedb_receptor:21919-beta
iedb_receptor:21920	AlphaBetaTCR		iedb_receptor:21920-beta
iedb_receptor:21921	AlphaBetaTCR		iedb_receptor:21921-beta
iedb_receptor:21922	AlphaBetaTCR		iedb_receptor:21922-beta
iedb_receptor:21923	AlphaBetaTCR		iedb_receptor:21923-beta
iedb_receptor:21924	AlphaBetaTCR		iedb_receptor:21924-beta
iedb_receptor:21925	AlphaBetaTCR		iedb_receptor:21925-beta
iedb_receptor:21926	AlphaBetaTCR		iedb_receptor:21926-beta
iedb_receptor:21927	AlphaBetaTCR		iedb_receptor:21927-beta
iedb_receptor:21928	AlphaBetaTCR		iedb_receptor:21928-beta
